#node1,node2,combined_score
BTK,CXCL12,0.505
BTK,LAT2,0.534
BTK,IL6,0.568
BTK,CXCR4,0.609
BTK,TLR6,0.665
BTK,TNF,0.593
BTK,IL10,0.488
BTK,LOC102723407,0.747
BTK,JAK1,0.457
BTK,NOTCH1,0.468
BTK,CTLA4,0.483
BTK,PTPN11,0.516
CASP8,ERCC1,0.544
CASP8,TNFRSF1A,0.998
CASP8,MMP2,0.49
CASP8,NFKB1,0.664
CASP8,IL2,0.491
CASP8,CDKN1B,0.621
CASP8,HSPB1,0.475
CASP8,KRAS,0.48
CASP8,MDM2,0.75
CASP8,RIPK1,0.999
CASP8,CREBBP,0.544
CASP8,EP300,0.589
CASP8,STAT3,0.634
CASP8,RB1,0.508
CASP8,TP53,0.991
CASP8,STAT5B,0.416
CASP8,CXCL8,0.515
CASP8,TERT,0.428
CASP8,CD34,0.499
CASP8,MET,0.587
CASP8,FOXO3,0.493
CASP8,HMGB1,0.496
CASP8,TLR9,0.412
CASP8,CXCR4,0.447
CASP8,NOTCH1,0.498
CASP8,JAK2,0.523
CASP8,NCAM1,0.527
CASP8,CCNA2,0.541
CASP8,IL10,0.558
CASP8,CDKN2A,0.586
CASP8,MTOR,0.611
CASP8,JAK1,0.634
CASP8,PTGS2,0.7
CASP8,RELA,0.704
CASP8,MMP9,0.712
CASP8,IL6,0.739
CASP8,PTEN,0.781
CASP8,CASP8AP2,0.966
CASP8,XIAP,0.97
CASP8,CYLD,0.972
CASP8,TNF,0.999
CASP8,FAS,0.999
CASP8,FASLG,0.999
CBL,TNFRSF1A,0.435
CBL,FLT3,0.852
CBL,MDM2,0.558
CBL,RIPK1,0.453
CBL,CD33,0.736
CBL,STAT5B,0.429
CBL,PICALM,0.526
CBL,NRAS,0.543
CBL,THY1,0.58
CBL,MTRR,0.595
CBL,TNF,0.61
CBL,NOTCH1,0.61
CBL,PTEN,0.687
CBL,FLT1,0.689
CBL,JAK1,0.745
CBL,STAT5A,0.755
CBL,MTR,0.757
CBL,EPS15,0.766
CBL,IL6,0.771
CBL,JAK2,0.79
CBL,STAT3,0.88
CBL,PTPN11,0.951
CBL,KIT,0.957
CBL,MET,0.999
CBL,ZAP70,0.999
CCN2,TIMP1,0.816
CCN2,MMP2,0.839
CCN2,TFPI2,0.407
CCN2,NFKB1,0.457
CCN2,IGFBP2,0.514
CCN2,VWF,0.884
CCN2,TIMP2,0.694
CCN2,EP300,0.462
CCN2,STAT3,0.535
CCN2,TP53,0.555
CCN2,THY1,0.646
CCN2,CXCL8,0.535
CCN2,CD34,0.416
CCN2,COL18A1,0.419
CCN2,MTOR,0.456
CCN2,PTGS2,0.691
CCN2,HSPA1B,0.405
CCN2,PTEN,0.455
CCN2,IL10,0.478
CCN2,CXCL12,0.576
CCN2,NOTCH1,0.598
CCN2,CXCR4,0.669
CCN2,CD9,0.705
CCN2,TNF,0.74
CCN2,IL6,0.771
CCN2,MMP9,0.809
CCNA2,MMP2,0.429
CCNA2,GAR1,0.442
CCNA2,CDKN1B,0.999
CCNA2,KRAS,0.455
CCNA2,MDM2,0.837
CCNA2,CCND2,0.61
CCNA2,CREBBP,0.764
CCNA2,EP300,0.812
CCNA2,STAT3,0.519
CCNA2,NBN,0.596
CCNA2,RB1,0.998
CCNA2,TP53,0.997
CCNA2,CDKN2B,0.519
CCNA2,FANCD2,0.608
CCNA2,NPM1,0.441
CCNA2,PLK1,0.958
CCNA2,TERT,0.68
CCNA2,TYMS,0.865
CCNA2,EZH2,0.649
CCNA2,FOXO3,0.564
CCNA2,GATA2,0.428
CCNA2,DNMT1,0.511
CCNA2,MTOR,0.442
CCNA2,PTGS2,0.424
CCNA2,XIAP,0.426
CCNA2,PTEN,0.511
CCNA2,MMP9,0.497
CCNA2,RAD50,0.527
CCNA2,IL6,0.4
CCNA2,DHFR,0.612
CCNA2,TNF,0.417
CCNA2,TOP2A,0.982
CCNA2,CDKN2A,0.696
CCNA2,RAD51,0.791
CCND2,TNFRSF1A,0.407
CCND2,NFKB1,0.402
CCND2,CDKN1B,0.999
CCND2,KRAS,0.687
CCND2,MDM2,0.492
CCND2,RELA,0.411
CCND2,MMP9,0.412
CCND2,IRF4,0.417
CCND2,DNMT1,0.433
CCND2,MET,0.434
CCND2,KIT,0.436
CCND2,STAT5B,0.448
CCND2,GSTP1,0.455
CCND2,IL6,0.455
CCND2,STAT5A,0.457
CCND2,EZH2,0.472
CCND2,LOC102723407,0.479
CCND2,NOTCH1,0.493
CCND2,IDH2,0.495
CCND2,TERT,0.5
CCND2,NPM1,0.514
CCND2,TOP2A,0.538
CCND2,STAT3,0.541
CCND2,EP300,0.557
CCND2,PLK1,0.558
CCND2,NRAS,0.622
CCND2,TP53,0.641
CCND2,RUNX1,0.69
CCND2,PTEN,0.706
CCND2,JAK2,0.711
CCND2,CDKN2B,0.962
CCND2,RB1,0.988
CCND2,CDKN2A,0.99
CD33,MPO,0.751
CD33,IL2,0.737
CD33,FLT3,0.73
CD33,ZAP70,0.404
CD33,STAT5B,0.407
CD33,IKZF1,0.412
CD33,KLRD1,0.415
CD33,DNMT3A,0.416
CD33,STAT5A,0.421
CD33,PAX5,0.422
CD33,CXCL12,0.426
CD33,PRAME,0.428
CD33,ETV6,0.437
CD33,CXCL8,0.439
CD33,TP53,0.442
CD33,LOC102723407,0.447
CD33,CD96,0.452
CD33,JAK2,0.454
CD33,S100A9,0.456
CD33,HLA-DRB1,0.457
CD33,THBD,0.458
CD33,KMT2A,0.462
CD33,CEBPA,0.464
CD33,STAT3,0.471
CD33,WT1,0.479
CD33,HLA-A,0.481
CD33,CD9,0.496
CD33,IDH1,0.501
CD33,IDO1,0.508
CD33,PROM1,0.511
CD33,IDH2,0.513
CD33,CXCR4,0.541
CD33,TNF,0.568
CD33,THY1,0.579
CD33,CTLA4,0.584
CD33,RUNX1,0.594
CD33,IL10,0.595
CD33,NPM1,0.597
CD33,IL6,0.606
CD33,IL7R,0.655
CD33,LEP,0.752
CD33,PICALM,0.756
CD33,MME,0.778
CD33,IL15,0.807
CD33,IL3RA,0.819
CD33,PTPN11,0.863
CD33,NCAM1,0.865
CD33,KIT,0.898
CD33,CD34,0.951
CD34,TIMP1,0.539
CD34,MMP2,0.682
CD34,MPO,0.735
CD34,NFKB1,0.454
CD34,IL2,0.63
CD34,FLT3,0.88
CD34,KRAS,0.447
CD34,MDM2,0.514
CD34,VWF,0.849
CD34,FLT4,0.652
CD34,TIMP2,0.558
CD34,TCF3,0.436
CD34,STAT3,0.614
CD34,MECOM,0.61
CD34,DNMT3A,0.558
CD34,TP53,0.7
CD34,FLT1,0.754
CD34,THY1,0.915
CD34,KIT,0.956
CD34,STAT5B,0.593
CD34,GFI1,0.431
CD34,IL15,0.608
CD34,NPM1,0.746
CD34,NOS3,0.489
CD34,RUNX1,0.724
CD34,IL7R,0.68
CD34,CXCL8,0.591
CD34,TERT,0.501
CD34,CXCR3,0.409
CD34,PTPN11,0.419
CD34,MTOR,0.42
CD34,LEP,0.421
CD34,PBX1,0.428
CD34,NUP98,0.436
CD34,FAS,0.437
CD34,CTLA4,0.447
CD34,TAC1,0.459
CD34,KMT2A,0.464
CD34,IDH2,0.474
CD34,MET,0.474
CD34,IKZF1,0.474
CD34,NRAS,0.476
CD34,TET1,0.48
CD34,EZH2,0.491
CD34,PTEN,0.495
CD34,KLRD1,0.511
CD34,THBD,0.518
CD34,CDKN2A,0.54
CD34,IDH1,0.541
CD34,LOC102723407,0.552
CD34,ETV6,0.553
CD34,IDO1,0.566
CD34,STAT5A,0.608
CD34,PAX5,0.612
CD34,NOTCH1,0.613
CD34,CEBPA,0.616
CD34,HLA-A,0.618
CD34,JAK2,0.625
CD34,PTGS2,0.635
CD34,FASLG,0.637
CD34,ENO2,0.643
CD34,WT1,0.66
CD34,CD9,0.674
CD34,MMP9,0.71
CD34,TNF,0.712
CD34,IL10,0.718
CD34,GATA2,0.757
CD34,IL3RA,0.785
CD34,CXCR4,0.815
CD34,NCAM1,0.821
CD34,IL6,0.83
CD34,MME,0.841
CD34,CXCL12,0.856
CD34,PROM1,0.928
CD9,TNFRSF1A,0.542
CD9,MMP2,0.412
CD9,VWF,0.614
CD9,FLT4,0.453
CD9,STAT3,0.45
CD9,TP53,0.4
CD9,THY1,0.678
CD9,KIT,0.693
CD9,MET,0.492
CD9,NRAS,0.422
CD9,PTEN,0.436
CD9,MMP9,0.48
CD9,CXCL12,0.416
CD9,NOTCH1,0.454
CD9,HLA-A,0.466
CD9,PROM1,0.48
CD9,IL10,0.499
CD9,LOC102723407,0.503
CD9,CXCR4,0.509
CD9,IL6,0.54
CD9,TNF,0.541
CD9,NCAM1,0.571
CD9,MME,0.867
CD96,ZAP70,0.489
CD96,IDO1,0.409
CD96,IL7R,0.412
CD96,HSPA1B,0.415
CD96,NCAM1,0.42
CD96,IL3RA,0.509
CD96,IL15,0.606
CD96,KLRD1,0.672
CD96,CTLA4,0.764
CDKN1B,MIF,0.438
CDKN1B,NFKB1,0.443
CDKN1B,FASLG,0.408
CDKN1B,TIMP2,0.413
CDKN1B,TNF,0.425
CDKN1B,RUNX1,0.428
CDKN1B,MMP9,0.429
CDKN1B,IL6,0.434
CDKN1B,KIT,0.452
CDKN1B,NRAS,0.456
CDKN1B,KMT2A,0.465
CDKN1B,NOTCH1,0.478
CDKN1B,STAT5B,0.509
CDKN1B,KRAS,0.529
CDKN1B,MTOR,0.533
CDKN1B,STAT3,0.541
CDKN1B,CXCR4,0.544
CDKN1B,XIAP,0.566
CDKN1B,ETV6,0.567
CDKN1B,MDM2,0.587
CDKN1B,PAX5,0.605
CDKN1B,EZH2,0.609
CDKN1B,EP300,0.642
CDKN1B,JAK2,0.725
CDKN1B,RB1,0.818
CDKN1B,FLT3,0.823
CDKN1B,PTEN,0.834
CDKN1B,CDKN2B,0.859
CDKN1B,CDKN2A,0.93
CDKN1B,FOXO3,0.98
CDKN1B,TP53,0.991
CDKN2A,ERCC1,0.474
CDKN2A,MMP2,0.474
CDKN2A,TFPI2,0.4
CDKN2A,NFKB1,0.571
CDKN2A,IL2,0.401
CDKN2A,FLT3,0.725
CDKN2A,SOX4,0.635
CDKN2A,KRAS,0.992
CDKN2A,MDM2,0.999
CDKN2A,YY1,0.559
CDKN2A,CREBBP,0.751
CDKN2A,EP300,0.859
CDKN2A,STAT3,0.617
CDKN2A,DNMT3A,0.637
CDKN2A,RB1,0.843
CDKN2A,TP53,0.999
CDKN2A,CDKN2B,0.951
CDKN2A,KIT,0.669
CDKN2A,STAT5B,0.408
CDKN2A,TLX3,0.605
CDKN2A,NPM1,0.999
CDKN2A,PLK1,0.48
CDKN2A,RUNX1,0.698
CDKN2A,CXCL8,0.514
CDKN2A,TERT,0.817
CDKN2A,TYMS,0.402
CDKN2A,MET,0.562
CDKN2A,EZH2,0.813
CDKN2A,DNMT3B,0.727
CDKN2A,IKZF1,0.607
CDKN2A,IDH2,0.658
CDKN2A,FOXO3,0.76
CDKN2A,STAT5A,0.421
CDKN2A,HMGB1,0.543
CDKN2A,PAX5,0.594
CDKN2A,DNMT1,0.703
CDKN2A,MTOR,0.615
CDKN2A,PTGS2,0.482
CDKN2A,S100A8,0.531
CDKN2A,NRAS,0.984
CDKN2A,RPL5,0.586
CDKN2A,XIAP,0.545
CDKN2A,PTEN,0.923
CDKN2A,MMP9,0.513
CDKN2A,TET1,0.453
CDKN2A,MTHFR,0.423
CDKN2A,WT1,0.623
CDKN2A,CDX2,0.506
CDKN2A,P2RY8,0.43
CDKN2A,CRLF2,0.418
CDKN2A,JAK2,0.599
CDKN2A,CXCL12,0.432
CDKN2A,ETV6,0.601
CDKN2A,GSTP1,0.669
CDKN2A,RELA,0.851
CDKN2A,IL6,0.621
CDKN2A,CXCR4,0.432
CDKN2A,IDH1,0.744
CDKN2A,NSD1,0.484
CDKN2A,TNF,0.572
CDKN2A,TOP2A,0.661
CDKN2A,IL10,0.428
CDKN2A,MME,0.454
CDKN2A,NCAM1,0.436
CDKN2A,RAD51,0.444
CDKN2A,PROM1,0.447
CDKN2A,CEBPA,0.46
CDKN2A,JAK1,0.462
CDKN2A,MUTYH,0.477
CDKN2A,CTLA4,0.507
CDKN2A,KMT2A,0.513
CDKN2A,XRCC3,0.528
CDKN2A,JAK3,0.533
CDKN2A,PRAME,0.549
CDKN2A,FBXW7,0.663
CDKN2A,PTPN11,0.665
CDKN2A,LOC102723407,0.717
CDKN2A,NOTCH1,0.723
CDKN2A,CTCF,0.794
CDKN2B,TNFRSF1A,0.4
CDKN2B,KRAS,0.554
CDKN2B,MDM2,0.72
CDKN2B,EP300,0.431
CDKN2B,MECOM,0.475
CDKN2B,DNMT3A,0.5
CDKN2B,RB1,0.51
CDKN2B,TP53,0.86
CDKN2B,MET,0.403
CDKN2B,RUNX1,0.425
CDKN2B,GSTP1,0.444
CDKN2B,PAX5,0.449
CDKN2B,DNMT3B,0.45
CDKN2B,IDH2,0.458
CDKN2B,ETV6,0.48
CDKN2B,NRAS,0.496
CDKN2B,IKZF1,0.502
CDKN2B,DNMT1,0.519
CDKN2B,IDH1,0.53
CDKN2B,EZH2,0.614
CDKN2B,PTEN,0.626
CDKN2B,TERT,0.652
CDX2,NFKB1,0.623
CDX2,KRAS,0.587
CDX2,EP300,0.423
CDX2,TP53,0.603
CDX2,KIT,0.436
CDX2,EZH2,0.439
CDX2,GATA2,0.493
CDX2,DNMT1,0.426
CDX2,PTEN,0.631
CDX2,WT1,0.583
CDX2,FBXW7,0.426
CDX2,ENO2,0.43
CDX2,NCAM1,0.508
CDX2,MME,0.543
CDX2,RELA,0.561
CDX2,PBX1,0.581
CEBPA,CEBPE,0.893
CEBPA,MPO,0.458
CEBPA,NFKB1,0.608
CEBPA,NR3C1,0.758
CEBPA,FLT3,0.981
CEBPA,KRAS,0.523
CEBPA,YY1,0.513
CEBPA,CREBBP,0.711
CEBPA,TCF3,0.643
CEBPA,EP300,0.902
CEBPA,STAT3,0.875
CEBPA,MECOM,0.66
CEBPA,DNMT3A,0.718
CEBPA,RB1,0.436
CEBPA,TP53,0.93
CEBPA,PRDM16,0.77
CEBPA,KIT,0.691
CEBPA,STAT5B,0.521
CEBPA,GFI1,0.899
CEBPA,NPM1,0.813
CEBPA,RUNX1,0.994
CEBPA,CXCL8,0.608
CEBPA,LEP,0.943
CEBPA,NQO1,0.509
CEBPA,EZH2,0.578
CEBPA,IKZF1,0.573
CEBPA,IDH2,0.673
CEBPA,FOXO3,0.669
CEBPA,STAT5A,0.542
CEBPA,GATA2,0.939
CEBPA,PAX5,0.698
CEBPA,DNMT1,0.679
CEBPA,NRAS,0.621
CEBPA,PTEN,0.463
CEBPA,CXCR3,0.471
CEBPA,WT1,0.685
CEBPA,JAK2,0.55
CEBPA,ERCC2,0.414
CEBPA,ETV6,0.719
CEBPA,RELA,0.611
CEBPA,IL6,0.739
CEBPA,IDH1,0.71
CEBPA,TNF,0.926
CEBPA,PBX1,0.421
CEBPA,IL10,0.548
CEBPA,FBXW7,0.441
CEBPA,NOTCH1,0.466
CEBPA,KMT2A,0.52
CEBPA,PTPN11,0.534
CEBPA,ZNF423,0.566
CEBPA,CTCF,0.679
CEBPE,NR3C1,0.41
CEBPE,ETV6,0.414
CEBPE,PAX5,0.418
CEBPE,P2RY8,0.466
CEBPE,IRF4,0.484
CEBPE,GATA2,0.512
CEBPE,EP300,0.543
CEBPE,GFI1,0.638
CEBPE,IKZF1,0.665
CEBPE,RUNX1,0.677
CEBPE,MPO,0.735
CHIT1,MMP9,0.401
CHIT1,HLA-A,0.421
CHIT1,TNF,0.468
CHIT1,IL6,0.477
CHIT1,IL10,0.554
COL18A1,TIMP1,0.541
COL18A1,MMP2,0.96
COL18A1,IGFBP2,0.406
COL18A1,VWF,0.479
COL18A1,FLT4,0.776
COL18A1,TIMP2,0.472
COL18A1,FLT1,0.741
COL18A1,CXCL8,0.638
COL18A1,IL6,0.419
COL18A1,TNF,0.443
COL18A1,CXCL12,0.444
COL18A1,MMP9,0.92
CREBBP,TNFRSF1A,0.494
CREBBP,NFKB1,0.913
CREBBP,NR3C1,0.943
CREBBP,FLT3,0.405
CREBBP,SOX4,0.417
CREBBP,KRAS,0.502
CREBBP,MDM2,0.909
CREBBP,YY1,0.951
CREBBP,MLLT10,0.403
CREBBP,MTOR,0.412
CREBBP,KMT5A,0.414
CREBBP,IL6,0.416
CREBBP,JAK3,0.419
CREBBP,LOC102723407,0.424
CREBBP,TNF,0.431
CREBBP,JAK2,0.451
CREBBP,NRAS,0.454
CREBBP,IRF4,0.463
CREBBP,PAX5,0.464
CREBBP,HSPA1A,0.467
CREBBP,IKZF1,0.47
CREBBP,ETV6,0.472
CREBBP,JAK1,0.472
CREBBP,HSPA1B,0.477
CREBBP,CYP1A1,0.481
CREBBP,DNMT1,0.482
CREBBP,MECOM,0.51
CREBBP,DNMT3A,0.525
CREBBP,SET,0.528
CREBBP,CXCL8,0.533
CREBBP,PBX1,0.539
CREBBP,RB1,0.545
CREBBP,PTEN,0.552
CREBBP,GATA2,0.555
CREBBP,DDX3X,0.563
CREBBP,LEP,0.577
CREBBP,NQO1,0.607
CREBBP,NSD1,0.616
CREBBP,HMGB1,0.635
CREBBP,CTCF,0.653
CREBBP,FBXW7,0.728
CREBBP,HDAC4,0.745
CREBBP,PRMT1,0.778
CREBBP,NOTCH1,0.783
CREBBP,NUP98,0.815
CREBBP,EZH2,0.818
CREBBP,TCF3,0.917
CREBBP,STAT5B,0.934
CREBBP,STAT3,0.935
CREBBP,STAT5A,0.975
CREBBP,RUNX1,0.977
CREBBP,FOXO3,0.995
CREBBP,KMT2A,0.995
CREBBP,RELA,0.999
CREBBP,TP53,0.999
CREBBP,EP300,0.999
CRLF2,IL2,0.781
CRLF2,FLT3,0.67
CRLF2,STAT3,0.66
CRLF2,STAT5B,0.723
CRLF2,IL15,0.752
CRLF2,TLX3,0.552
CRLF2,RUNX1,0.584
CRLF2,IL7R,0.999
CRLF2,CXCL8,0.437
CRLF2,LEP,0.65
CRLF2,TAC1,0.436
CRLF2,IL3RA,0.737
CRLF2,IKZF1,0.715
CRLF2,STAT5A,0.718
CRLF2,PAX5,0.614
CRLF2,P2RY8,0.953
CRLF2,KMT2A,0.541
CRLF2,PBX1,0.581
CRLF2,LOC102723407,0.597
CRLF2,ETV6,0.693
CRLF2,IL6,0.764
CRLF2,IL10,0.782
CRLF2,JAK3,0.839
CRLF2,JAK1,0.917
CRLF2,JAK2,0.981
CTCF,NFKB1,0.436
CTCF,NR3C1,0.608
CTCF,KRAS,0.461
CTCF,YY1,0.991
CTCF,TCF3,0.467
CTCF,EP300,0.959
CTCF,STAT3,0.464
CTCF,DNMT3A,0.604
CTCF,TP53,0.83
CTCF,NPM1,0.975
CTCF,RUNX1,0.564
CTCF,TERT,0.464
CTCF,NUP98,0.527
CTCF,EZH2,0.916
CTCF,DNMT3B,0.529
CTCF,IKZF1,0.471
CTCF,STAT5A,0.497
CTCF,GATA2,0.545
CTCF,PAX5,0.555
CTCF,DNMT1,0.778
CTCF,RPL5,0.525
CTCF,PTEN,0.409
CTCF,SET,0.403
CTCF,TET1,0.524
CTCF,ZFX,0.551
CTCF,IRF4,0.437
CTCF,RELA,0.407
CTCF,NSD1,0.514
CTCF,TOP2A,0.753
CTCF,RPL10,0.515
CTCF,KMT2A,0.426
CTCF,FBXW7,0.482
CTCF,LOC102723407,0.543
CTCF,RAD51,0.652
CTCF,DDX3X,0.41
CTLA4,TNFRSF1A,0.542
CTLA4,TIMP1,0.456
CTLA4,MMP2,0.539
CTLA4,NFKB1,0.565
CTLA4,IL2,0.943
CTLA4,FLT3,0.421
CTLA4,KRAS,0.625
CTLA4,STAT3,0.674
CTLA4,ZAP70,0.77
CTLA4,TP53,0.648
CTLA4,FLT1,0.433
CTLA4,THY1,0.414
CTLA4,KIT,0.678
CTLA4,STAT5B,0.744
CTLA4,IL15,0.677
CTLA4,RUNX1,0.844
CTLA4,IL7R,0.771
CTLA4,CXCL8,0.598
CTLA4,TERT,0.435
CTLA4,LEP,0.539
CTLA4,MET,0.471
CTLA4,EZH2,0.442
CTLA4,IL3RA,0.472
CTLA4,IKZF1,0.47
CTLA4,KLRD1,0.738
CTLA4,STAT5A,0.75
CTLA4,HMGB1,0.503
CTLA4,DNMT1,0.407
CTLA4,HLA-DRB1,0.746
CTLA4,TLR9,0.591
CTLA4,MTOR,0.577
CTLA4,PTGS2,0.427
CTLA4,FASLG,0.833
CTLA4,NRAS,0.59
CTLA4,PTEN,0.607
CTLA4,MMP9,0.642
CTLA4,CXCR3,0.737
CTLA4,IRF4,0.657
CTLA4,JAK2,0.648
CTLA4,CXCL12,0.582
CTLA4,HLA-A,0.629
CTLA4,RELA,0.472
CTLA4,IL6,0.815
CTLA4,CXCR4,0.607
CTLA4,IDH1,0.435
CTLA4,HLA-DPA1,0.429
CTLA4,TNF,0.873
CTLA4,IL10,0.922
CTLA4,IDO1,0.91
CTLA4,JAK3,0.771
CTLA4,LOC102723407,0.93
CTLA4,NCAM1,0.636
CTLA4,PTPN11,0.991
CTLA4,JAK1,0.548
CTLA4,NOTCH1,0.55
CTLA4,FAS,0.581
CXCL12,TNFRSF1A,0.403
CXCL12,MIF,0.737
CXCL12,TIMP1,0.737
CXCL12,MMP2,0.762
CXCL12,NFKB1,0.564
CXCL12,IL2,0.619
CXCL12,IGFBP2,0.41
CXCL12,FLT3,0.496
CXCL12,KRAS,0.447
CXCL12,IL1RN,0.679
CXCL12,VWF,0.583
CXCL12,FLT4,0.676
CXCL12,TIMP2,0.45
CXCL12,STAT3,0.684
CXCL12,TP53,0.582
CXCL12,FLT1,0.8
CXCL12,THY1,0.673
CXCL12,KIT,0.974
CXCL12,STAT5B,0.414
CXCL12,IL15,0.601
CXCL12,NOS3,0.471
CXCL12,IL7R,0.427
CXCL12,CXCL8,0.951
CXCL12,LEP,0.44
CXCL12,MET,0.902
CXCL12,LEPR,0.633
CXCL12,STAT5A,0.439
CXCL12,HMGB1,0.984
CXCL12,TLR9,0.634
CXCL12,MTOR,0.439
CXCL12,PTGS2,0.534
CXCL12,FASLG,0.476
CXCL12,PTEN,0.646
CXCL12,MMP9,0.891
CXCL12,CXCR3,0.998
CXCL12,JAK2,0.541
CXCL12,JAK1,0.423
CXCL12,PTPN11,0.491
CXCL12,NOTCH1,0.503
CXCL12,IDO1,0.604
CXCL12,PROM1,0.647
CXCL12,NCAM1,0.695
